company,job_title,salary,location,year
DROPOBOX INC,Full Stack Engineer,143000,"San Francisco, CA",2024
GOOGLE LLC,Compliance Analyst,211000,"Chicago, IL",2025
SALESFORCE INC,Analytics Engineer,165000,"San Francisco, CA",2024
SNAP INC,UX Engineer,129000,"Santa Monica, CA",2025
AIRBNB INC,Senior Product Manager,150000,"San Francisco, CA",2024
GOOGLE LLC,Senior DevOps Engineer,187000,"Mountain View, CA",2026
COGNIZANT TECHNOLOGY SOLUTIONS,Platform Engineer,96000,"Teaneck, NJ",2024
INTEL CORPORATION,DevOps Engineer,139000,"Santa Clara, CA",2024
STRIPE INC,Senior Engineering Manager,188000,"Reston, VA",2026
SNAP INC,Big Data Engineer,122000,"Tampa, FL",2025
PALANTIR TECHNOLOGIES,Business Intelligence Engineer,135000,"Denver, CO",2025
NVIDIA CORPORATION,Operations Research Analyst,175000,"Boston, MA",2026
ADOBE INC,Platform Engineer,125000,"Dallas, TX",2025
AIRBNB INC,SRE,129000,"San Francisco, CA",2025
LINKEDIN CORPORATION,Compliance Analyst,200000,"New York, NY",2024
NETFLIX INC,UX Engineer,269000,"Los Gatos, CA",2026
TESLA INC,Platform Engineer,142000,"Austin, TX",2026
MICROSOFT CORPORATION,Machine Learning Engineer,154000,"Redmond, WA",2024
CAPITAL ONE SERVICES LLC,Solutions Architect,118000,"Sunnyvale, CA",2024
DELOITTE CONSULTING LLP,Applied Scientist,91000,"New York, NY",2026
INFOSYS LIMITED,Staff Software Engineer,87000,"Plano, TX",2026
ADOBE INC,Data Engineer,193000,"Columbus, OH",2024
PINTEREST INC,Technical Lead,144000,"San Francisco, CA",2025
WALMART GLOBAL TECH,Full Stack Engineer,102000,"Bentonville, AR",2024
ORACLE AMERICA INC,DevOps Engineer,105000,"Salt Lake City, UT",2025
SPLUNK INC,Compliance Analyst,140000,"San Francisco, CA",2025
ACCENTURE LLP,Cloud Engineer,91000,"Sacramento, CA",2026
ZOOM VIDEO COMMUNICATIONS,Security Engineer,137000,"San Jose, CA",2025
TATA CONSULTANCY SERVICES,Platform Engineer,101000,"Bridgewater, NJ",2025
TATA CONSULTANCY SERVICES,Product Manager,94000,"Ann Arbor, MI",2024
NETFLIX INC,Backend Engineer,313000,"Bridgewater, NJ",2024
JPMORGAN CHASE & CO,Engineering Manager,162000,"New York, NY",2024
LINKEDIN CORPORATION,UX Engineer,179000,"Richmond, VA",2024
APPLE INC,Security Engineer,174000,"Cupertino, CA",2025
SALESFORCE INC,Applied Scientist,128000,"San Francisco, CA",2024
DELOITTE CONSULTING LLP,Solutions Architect,88000,"New York, NY",2026
META PLATFORMS INC,Full Stack Engineer,155000,"Menlo Park, CA",2025
TWITTER INC,Database Administrator,185000,"San Francisco, CA",2026
SPLUNK INC,SDET,146000,"San Francisco, CA",2024
VMWARE LLC,Solutions Architect,117000,"Jersey City, NJ",2026
DATADOG INC,Applied Scientist,130000,"New York, NY",2024
ZOOM VIDEO COMMUNICATIONS,Cloud Engineer,166000,"San Jose, CA",2024
SNAP INC,Cloud Engineer,172000,"Santa Monica, CA",2025
APPLE INC,Senior Data Scientist,208000,"Cupertino, CA",2026
NVIDIA CORPORATION,Site Reliability Engineer,158000,"Santa Clara, CA",2025
APPLE INC,Staff Software Engineer,166000,"Cupertino, CA",2024
APPLE INC,Technical Program Manager,192000,"San Francisco, CA",2026
LINKEDIN CORPORATION,Technical Lead,179000,"Boston, MA",2025
JPMORGAN CHASE & CO,Research Scientist,169000,"New York, NY",2024
SPLUNK INC,Senior Data Engineer,149000,"Dallas, TX",2025
UBER TECHNOLOGIES INC,Senior Engineering Manager,194000,"San Francisco, CA",2024
VMWARE LLC,Solutions Architect,130000,"Palo Alto, CA",2024
UBER TECHNOLOGIES INC,Financial Analyst,169000,"Boulder, CO",2024
APPLE INC,Staff Software Engineer,198000,"Cupertino, CA",2025
ACCENTURE LLP,SRE,96000,"Brooklyn, NY",2025
TATA CONSULTANCY SERVICES,Financial Analyst,79000,"Bridgewater, NJ",2024
GOLDMAN SACHS & CO LLC,Security Engineer,120000,"New York, NY",2024
NETFLIX INC,AI Engineer,320000,"Los Gatos, CA",2025
AIRBNB INC,Backend Engineer,158000,"San Francisco, CA",2024
DELOITTE CONSULTING LLP,Senior Data Engineer,134000,"Chicago, IL",2026
PINTEREST INC,Engineering Manager,142000,"San Francisco, CA",2024
NETFLIX INC,AI Engineer,220000,"Alpharetta, GA",2026
GOOGLE LLC,Technical Lead,182000,"Mountain View, CA",2024
DOCUSIGN INC,QA Engineer,141000,"San Francisco, CA",2024
AMAZON COM SERVICES LLC,Platform Engineer,133000,"Alpharetta, GA",2025
TESLA INC,Site Reliability Engineer,159000,"Austin, TX",2025
WALMART GLOBAL TECH,Data Engineer,133000,"Bentonville, AR",2024
CAPITAL ONE SERVICES LLC,Security Engineer,123000,"Charlotte, NC",2026
GOOGLE LLC,Cloud Engineer,216000,"Los Angeles, CA",2025
DOCUSIGN INC,Technical Lead,168000,"Ann Arbor, MI",2025
AMAZON WEB SERVICES INC,Cloud Engineer,135000,"San Diego, CA",2026
LINKEDIN CORPORATION,Security Engineer,197000,"Sunnyvale, CA",2026
INTEL CORPORATION,Engineering Manager,141000,"Santa Clara, CA",2024
INTEL CORPORATION,Site Reliability Engineer,153000,"Santa Clara, CA",2026
AMAZON COM SERVICES LLC,Compliance Analyst,183000,"Austin, TX",2026
MICROSOFT CORPORATION,Machine Learning Engineer,148000,"Cambridge, MA",2026
SERVICENOW INC,SDET,133000,"Richmond, VA",2025
STRIPE INC,Senior Data Scientist,229000,"South San Francisco, CA",2025
CAPITAL ONE SERVICES LLC,Compliance Analyst,124000,"McLean, VA",2026
COGNIZANT TECHNOLOGY SOLUTIONS,Security Engineer,72000,"Reston, VA",2024
DATADOG INC,Big Data Engineer,143000,"New York, NY",2024
DOCUSIGN INC,Cloud Engineer,157000,"San Francisco, CA",2024
INFOSYS LIMITED,Senior Data Engineer,94000,"Sacramento, CA",2026
SPLUNK INC,Operations Research Analyst,144000,"San Jose, CA",2025
TWITTER INC,Network Engineer,182000,"San Francisco, CA",2026
ZOOM VIDEO COMMUNICATIONS,Engineering Manager,156000,"San Jose, CA",2026
DROPOBOX INC,Platform Engineer,138000,"San Francisco, CA",2024
INTEL CORPORATION,Frontend Engineer,128000,"Santa Clara, CA",2025
ADOBE INC,Software Engineer,124000,"Sunnyvale, CA",2025
DROPOBOX INC,Analytics Engineer,157000,"Milwaukee, WI",2025
AIRBNB INC,Analytics Engineer,185000,"San Francisco, CA",2024
GOLDMAN SACHS & CO LLC,Business Intelligence Engineer,152000,"New York, NY",2026
UBER TECHNOLOGIES INC,Product Manager,147000,"San Francisco, CA",2024
STRIPE INC,Site Reliability Engineer,218000,"South San Francisco, CA",2025
SPLUNK INC,Infrastructure Engineer,128000,"Bridgewater, NJ",2026
NETFLIX INC,UX Engineer,290000,"Los Gatos, CA",2025
INTEL CORPORATION,Network Engineer,135000,"Santa Clara, CA",2025
WORKDAY INC,Big Data Engineer,122000,"Pleasanton, CA",2025
INTEL CORPORATION,Machine Learning Engineer,126000,"Santa Clara, CA",2026
CAPITAL ONE SERVICES LLC,Senior Data Engineer,145000,"McLean, VA",2026
CAPITAL ONE SERVICES LLC,Analytics Engineer,157000,"McLean, VA",2025
INTEL CORPORATION,Site Reliability Engineer,162000,"Houston, TX",2024
META PLATFORMS INC,SRE,211000,"Richmond, VA",2024
COGNIZANT TECHNOLOGY SOLUTIONS,Product Manager,103000,"Kansas City, MO",2024
CAPITAL ONE SERVICES LLC,Frontend Engineer,139000,"McLean, VA",2024
ZOOM VIDEO COMMUNICATIONS,SRE,118000,"San Jose, CA",2025
ACCENTURE LLP,Machine Learning Engineer,106000,"Chicago, IL",2025
MICROSOFT CORPORATION,DevOps Engineer,153000,"Indianapolis, IN",2024
COGNIZANT TECHNOLOGY SOLUTIONS,QA Engineer,78000,"Nashville, TN",2026
TWITTER INC,SDET,130000,"San Francisco, CA",2024
CAPITAL ONE SERVICES LLC,Senior Data Engineer,133000,"St. Louis, MO",2026
SALESFORCE INC,Cloud Engineer,148000,"San Francisco, CA",2025
DELOITTE CONSULTING LLP,Software Engineer,127000,"New York, NY",2026
DELOITTE CONSULTING LLP,Full Stack Engineer,99000,"New York, NY",2026
TESLA INC,Systems Engineer,118000,"Sacramento, CA",2024
PINTEREST INC,Systems Engineer,174000,"San Francisco, CA",2026
UBER TECHNOLOGIES INC,Financial Analyst,178000,"San Francisco, CA",2024
TWITTER INC,Big Data Engineer,155000,"Houston, TX",2026
DROPOBOX INC,Senior DevOps Engineer,156000,"San Francisco, CA",2025
DROPOBOX INC,Machine Learning Engineer,142000,"San Francisco, CA",2024
DOCUSIGN INC,Infrastructure Engineer,135000,"San Francisco, CA",2024
ZOOM VIDEO COMMUNICATIONS,SDET,156000,"Salt Lake City, UT",2025
AIRBNB INC,Senior Product Manager,154000,"San Francisco, CA",2024
SPLUNK INC,Engineering Manager,141000,"San Francisco, CA",2026
NVIDIA CORPORATION,Senior Data Engineer,249000,"Santa Clara, CA",2025
AMAZON COM SERVICES LLC,Backend Engineer,190000,"St. Louis, MO",2025
DELOITTE CONSULTING LLP,Operations Research Analyst,98000,"Richmond, VA",2024
TATA CONSULTANCY SERVICES,Analytics Engineer,103000,"Minneapolis, MN",2024
COGNIZANT TECHNOLOGY SOLUTIONS,Senior DevOps Engineer,106000,"Palo Alto, CA",2025
META PLATFORMS INC,Data Scientist,159000,"Menlo Park, CA",2024
COGNIZANT TECHNOLOGY SOLUTIONS,Compliance Analyst,83000,"Teaneck, NJ",2026
SALESFORCE INC,Analytics Engineer,149000,"San Francisco, CA",2026
SPLUNK INC,AI Engineer,176000,"New York, NY",2026
PALANTIR TECHNOLOGIES,Security Engineer,152000,"Denver, CO",2026
STRIPE INC,Technical Lead,208000,"Plano, TX",2025
SNAP INC,Full Stack Engineer,132000,"Denver, CO",2024
SPLUNK INC,Machine Learning Engineer,126000,"San Francisco, CA",2025
SALESFORCE INC,Database Administrator,126000,"Austin, TX",2026
ADOBE INC,Security Engineer,138000,"Ann Arbor, MI",2026
GOOGLE LLC,Infrastructure Engineer,209000,"Mountain View, CA",2025
NETFLIX INC,Senior Product Manager,292000,"Los Gatos, CA",2026
GOLDMAN SACHS & CO LLC,Research Scientist,111000,"Baltimore, MD",2026
ADOBE INC,UX Engineer,162000,"McLean, VA",2025
AIRBNB INC,AI Engineer,127000,"Palo Alto, CA",2026
TATA CONSULTANCY SERVICES,Solutions Architect,68000,"Bridgewater, NJ",2024
MICROSOFT CORPORATION,Technical Lead,150000,"Irvine, CA",2026
AMAZON COM SERVICES LLC,Full Stack Engineer,171000,"Seattle, WA",2025
SNAP INC,Research Scientist,139000,"Portland, OR",2025
GOLDMAN SACHS & CO LLC,Senior Data Scientist,157000,"New York, NY",2025
LINKEDIN CORPORATION,Applied Scientist,143000,"Sunnyvale, CA",2024
LINKEDIN CORPORATION,Security Engineer,170000,"Sunnyvale, CA",2026
COGNIZANT TECHNOLOGY SOLUTIONS,Senior Software Engineer,93000,"Miami, FL",2025
DROPOBOX INC,Database Administrator,183000,"San Francisco, CA",2026
META PLATFORMS INC,Security Engineer,142000,"Palo Alto, CA",2024
SNAP INC,Machine Learning Engineer,127000,"Santa Monica, CA",2026
DATADOG INC,Senior Data Scientist,190000,"New York, NY",2026
SALESFORCE INC,Machine Learning Engineer,145000,"San Francisco, CA",2025
ZOOM VIDEO COMMUNICATIONS,Operations Research Analyst,116000,"San Jose, CA",2025
ORACLE AMERICA INC,Senior Product Manager,174000,"Austin, TX",2025
ACCENTURE LLP,Business Intelligence Engineer,134000,"Chicago, IL",2025
AMAZON WEB SERVICES INC,DevOps Engineer,180000,"Kansas City, MO",2026
NETFLIX INC,Cloud Engineer,238000,"Los Gatos, CA",2024
AMAZON COM SERVICES LLC,Systems Engineer,197000,"St. Louis, MO",2025
SNAP INC,Big Data Engineer,180000,"Santa Monica, CA",2026
VMWARE LLC,QA Engineer,161000,"Palo Alto, CA",2026
STRIPE INC,Cloud Engineer,190000,"South San Francisco, CA",2024
PINTEREST INC,Security Engineer,177000,"San Francisco, CA",2024
DROPOBOX INC,Frontend Engineer,185000,"Nashville, TN",2024
UBER TECHNOLOGIES INC,Full Stack Engineer,186000,"San Francisco, CA",2026
SERVICENOW INC,Product Manager,135000,"Santa Clara, CA",2025
DATADOG INC,Compliance Analyst,139000,"New York, NY",2026
MICROSOFT CORPORATION,Database Administrator,180000,"Redmond, WA",2026
SPLUNK INC,Full Stack Engineer,164000,"San Francisco, CA",2025
WALMART GLOBAL TECH,Systems Engineer,93000,"Bentonville, AR",2026
INFOSYS LIMITED,Site Reliability Engineer,74000,"Indianapolis, IN",2026
GOLDMAN SACHS & CO LLC,Technical Program Manager,173000,"Jersey City, NJ",2024
SERVICENOW INC,Data Scientist,144000,"Santa Clara, CA",2024
WORKDAY INC,Systems Engineer,134000,"Pleasanton, CA",2024
SQUARE INC,Platform Engineer,159000,"Plano, TX",2026
ACCENTURE LLP,Platform Engineer,129000,"Chicago, IL",2024
SQUARE INC,AI Engineer,179000,"San Francisco, CA",2026
TESLA INC,Compliance Analyst,164000,"Indianapolis, IN",2025
NETFLIX INC,Security Engineer,237000,"Arlington, VA",2024
TESLA INC,Site Reliability Engineer,139000,"Sacramento, CA",2026
VMWARE LLC,SDET,141000,"Palo Alto, CA",2024
NETFLIX INC,QA Engineer,253000,"Los Gatos, CA",2024
DROPOBOX INC,QA Engineer,142000,"San Francisco, CA",2026
AMAZON COM SERVICES LLC,Backend Engineer,144000,"Bellevue, WA",2024
DOCUSIGN INC,Product Manager,156000,"Indianapolis, IN",2025
ADOBE INC,Platform Engineer,125000,"San Jose, CA",2026
GOLDMAN SACHS & CO LLC,Senior DevOps Engineer,153000,"Redmond, WA",2024
ORACLE AMERICA INC,Solutions Architect,119000,"Jersey City, NJ",2025
JPMORGAN CHASE & CO,Full Stack Engineer,131000,"Plano, TX",2026
VMWARE LLC,Database Administrator,181000,"St. Louis, MO",2026
AMAZON WEB SERVICES INC,Compliance Analyst,151000,"Seattle, WA",2026
PALANTIR TECHNOLOGIES,Senior DevOps Engineer,155000,"Denver, CO",2025
GOLDMAN SACHS & CO LLC,Solutions Architect,141000,"San Francisco, CA",2024
CAPITAL ONE SERVICES LLC,Big Data Engineer,106000,"McLean, VA",2024
SNAP INC,Staff Software Engineer,195000,"Santa Monica, CA",2025
STRIPE INC,Applied Scientist,223000,"South San Francisco, CA",2025
SALESFORCE INC,DevOps Engineer,176000,"Chicago, IL",2025
SNAP INC,Security Engineer,170000,"Charlotte, NC",2024
ORACLE AMERICA INC,Senior DevOps Engineer,140000,"Austin, TX",2026
VMWARE LLC,QA Engineer,143000,"Palo Alto, CA",2024
SQUARE INC,Network Engineer,151000,"San Francisco, CA",2026
SQUARE INC,Staff Software Engineer,171000,"San Francisco, CA",2026
APPLE INC,Systems Engineer,188000,"Jersey City, NJ",2026
MICROSOFT CORPORATION,Financial Analyst,192000,"Redmond, WA",2025
DOCUSIGN INC,Database Administrator,164000,"San Francisco, CA",2026
TESLA INC,Software Engineer,161000,"Austin, TX",2026
WORKDAY INC,Senior Product Manager,159000,"Pleasanton, CA",2026
STRIPE INC,QA Engineer,157000,"Mountain View, CA",2026
MICROSOFT CORPORATION,Financial Analyst,148000,"Jersey City, NJ",2026
UBER TECHNOLOGIES INC,Full Stack Engineer,157000,"Salt Lake City, UT",2025
WALMART GLOBAL TECH,Senior Data Engineer,145000,"San Diego, CA",2026
AMAZON WEB SERVICES INC,Applied Scientist,181000,"Seattle, WA",2026
NETFLIX INC,Solutions Architect,290000,"Bridgewater, NJ",2024
PALANTIR TECHNOLOGIES,Database Administrator,182000,"Denver, CO",2025
COGNIZANT TECHNOLOGY SOLUTIONS,Senior DevOps Engineer,105000,"Teaneck, NJ",2024
STRIPE INC,Security Engineer,183000,"Detroit, MI",2025
ACCENTURE LLP,Site Reliability Engineer,115000,"Chicago, IL",2026
VMWARE LLC,Senior Engineering Manager,155000,"Milwaukee, WI",2025
GOLDMAN SACHS & CO LLC,Engineering Manager,133000,"Houston, TX",2025
ORACLE AMERICA INC,Senior DevOps Engineer,149000,"Austin, TX",2025
SPLUNK INC,Senior Engineering Manager,181000,"San Francisco, CA",2025
INFOSYS LIMITED,Research Scientist,84000,"Seattle, WA",2026
CAPITAL ONE SERVICES LLC,Senior Software Engineer,147000,"McLean, VA",2025
ACCENTURE LLP,Site Reliability Engineer,85000,"Chicago, IL",2025
SQUARE INC,SDET,178000,"San Francisco, CA",2025
